код	цена	количество
69045	150	6
69787	130	1
72259	900	2
50101	1600	2
50101	1600	1
50101	1600	1
57641	3800	1
52396	1980	1
27136	270	3
67039	170	2
47274	1150	1
68876	830	1
71371	380	2
65252	140	4
67464	130	1
57466	180	1
71079	800	1
71079	800	1
50958	310	1
67641	400	1
67641	410	1
66435	420	4
66453	380	2
66453	420	1
66367	430	5
72649	980	1
72650	980	1
49099	250	8
66593	100	4
69923	150	1
35590	45	24
73313	100	5
52984	160	1
67572	190	3
71135	250	2
71135	250	1
69493	250	1
72627	250	2
63511	170	30
63546	1300	1
71330	1300	1
72841	1600	1
73302	250	3
68622	220	1
71429	960	1
69723	360	1
38346	600	1
69131	570	1
69132	800	1
62625	60	1
48932	23	1
36533	40	3
36533	50	4
36462	24	42
36462	739	0.3
36462	750	0.36
53867	35	4
35288	240	1
35288	270	2
33386	50	29
63614	1450	1
72628	150	2
71137	150	1
72629	550	1
67370	410	1
71952	160	1
72451	180	2
69582	1369	1
70610	700	1
64321	180	1
69486	420	2
39629	850	1
72059	500	2
71705	160	1
71491	140	1
70243	300	1
72736	360	1
68699	500	1
72876	180	1
69687	480	5
69902	370	2
69902	440	4
68719	450	2
68719	480	3
70914	750	1
70822	750	1
72422	700	1
46904	450	4
59321	1000	1
69652	500	1
73067	690	1
69105	460	1
70308	580	1
69567	650	1
64280	800	1
69460	850	9
69460	850	4
59005	70	10
69529	580	1
72137	750	1
72138	600	1
65665	360	2
65665	360	1
60719	450	1
72453	320	1
66743	300	2
72454	3900	1
73102	80	1
67759	220	3
67759	220	1
68308	220	2
72140	1100	1
68309	250	1
67483	300	4
72651	380	2
50602	220	7
64540	200	2
65615	280	1
65615	330	1
72001	230	1
70613	1500	1
69454	520	1
73217	1250	1
71872	164	3
71872	165	1
72292	188	1
71939	111	2
72281	161	2
27146	185	1
27146	194	2
60402	990	1
58816	890	2
68653	790	1
72515	433	2
71848	400	3
66871	220	1
66871	280	1
72890	200	1
72978	250	1
72979	180	1
63632	200	1
72737	120	2
