наименование	производитель	код
	Не определен	69045
	Не определен	69787
	Не определен	72259
	Не определен	50101
	Не определен	50101
	Не определен	50101
	solgar Vitamin and Herb	57641
	solgar Vitamin and Herb	52396
	Не определен	27136
	Не определен	67039
	Не определен	47274
	guangxi Shua Helth care Products Co., Lt	68876
	Не определен	71371
	Не определен	65252
	Не определен	67464
	Не определен	57466
	Не определен	71079
	Не определен	71079
	Не определен	50958
	Не определен	67641
	Не определен	67641
	Не определен	66435
	Не определен	66453
	Не определен	66453
	Не определен	66367
	procter&Gamble	72649
	procter&Gamble	72650
	Не определен	49099
	Не определен	66593
	Не определен	69923
	Не определен	35590
	Не определен	73313
	Не определен	52984
	Не определен	67572
	Не определен	71135
	Не определен	71135
	Не определен	69493
	Не определен	72627
	Не определен	63511
	Не определен	63546
	Не определен	71330
	sANO INTERNATIONAL LTD	72841
	Не определен	73302
	Не определен	68622
	Не определен	71429
	Не определен	69723
	Не определен	38346
	guangxi Shua Helth care Products Co., Lt	69131
	guangxi Shua Helth care Products Co., Lt	69132
	Не определен	62625
	Не определен	48932
	Не определен	36533
	Не определен	36533
	Не определен	36462
	Не определен	36462
	Не определен	36462
	Не определен	53867
	Не определен	35288
	Не определен	35288
	Не определен	33386
	Не определен	63614
	Не определен	72628
	Не определен	71137
	Не определен	72629
	Не определен	67370
	Не определен	71952
	Не определен	72451
	pro Vista AG	69582
	pharmygiene-Scat	70610
	Не определен	64321
	Не определен	69486
	Не определен	39629
	Не определен	72059
	Не определен	71705
	Не определен	71491
	Не определен	70243
	Не определен	72736
	Не определен	68699
	Не определен	72876
	Не определен	69687
	Не определен	69902
	Не определен	69902
	Не определен	68719
	Не определен	68719
	Не определен	70914
	Не определен	70822
	gillete CN CN	72422
	Не определен	46904
	Не определен	59321
	Не определен	69652
	Не определен	73067
	Не определен	69105
	Не определен	70308
	Не определен	69567
	Не определен	64280
	Не определен	69460
	Не определен	69460
	Не определен	59005
	Не определен	69529
	Не определен	72137
	Не определен	72138
	Не определен	65665
	Не определен	65665
	Не определен	60719
	Не определен	72453
	Не определен	66743
	Не определен	72454
	Не определен	73102
	Не определен	67759
	Не определен	67759
	Не определен	68308
	quanzhou Tayue Sanitary Products	72140
	Не определен	68309
	Не определен	67483
	quanzhou Tayue Sanitary Products	72651
	Не определен	50602
	hangzhou Credible Sanitary Produ	64540
	kimberli Klark	65615
	kimberli Klark	65615
	Не определен	72001
	solgar Vitamin and Herb	70613
	Не определен	69454
	Не определен	73217
	Не определен	71872
	Не определен	71872
	Не определен	72292
	Не определен	71939
	Не определен	72281
	Не определен	27146
	Не определен	27146
	Не определен	60402
	Не определен	58816
	Не определен	68653
	Не определен	72515
	Не определен	71848
	Не определен	66871
	Не определен	66871
	ningbo Raffini Import&Export Co.Ltd	72890
	yiwu Kikis Baby Products Co., Lt	72978
	Не определен	72979
	Не определен	63632
	guangzhou Yiya Cosmetics Co., Ltd	72737
	Не определен	72213
	Не определен	72156
	Не определен	72156
	Не определен	73259
	marko Antonetto	72456
	Не определен	71507
	Не определен	72965
	Не определен	64079
	Не определен	72955
	Не определен	72181
	Не определен	68481
	Не определен	32609
	Не определен	45301
	Не определен	47119
	nesti Dante S.R.L.	70419
	Не определен	47621
	Не определен	73219
	Не определен	72947
	Не определен	73161
	Не определен	73010
	Не определен	50513
	Не определен	50513
	Не определен	48056
	Не определен	48543
	Не определен	48295
	Не определен	50627
	Не определен	48908
	Не определен	49034
	Не определен	49111
	Не определен	58582
	Не определен	49233
	Не определен	49233
	Не определен	64445
	Не определен	64446
	Не определен	37809
	Не определен	70655
	Не определен	70705
	Не определен	70706
	Не определен	73071
	"NESTLE WATERS SUPPLY EST"	34144
	Не определен	64163
	Не определен	30657
	Не определен	73017
	Не определен	73191
	Не определен	73192
	Не определен	47116
	Не определен	40774
	Не определен	37980
	Не определен	37982
	Не определен	71306
	Не определен	72913
	Не определен	72862
	Не определен	73170
	Не определен	72350
	Не определен	72350
	bio Fresh Ltd	71789
	bio-International Co.Ltd	60267
	zhongshan-Kang-Yi-Ran Sanitary P	64145
	ningbo Raffini Import&Export Co.Ltd	72980
	ningbo Raffini Import&Export Co.Ltd	72095
	ningbo Raffini Import&Export Co.Ltd	72981
	ningbo Longco Commodity Co., LTD.	66160
	Не определен	72777
	Не определен	72777
	Не определен	71768
	Не определен	50856
	Не определен	69316
	tZMO S.A.	41892
	Не определен	48963
	tZMO S.A.	66856
	Не определен	46682
	Не определен	68146
	Не определен	72153
	Не определен	72966
	Не определен	73014
	Не определен	71081
	Не определен	73011
	Не определен	73012
	Не определен	73078
	Не определен	73013
	Не определен	67573
	Не определен	68785
	Не определен	68785
	Не определен	72786
	Не определен	67643
	Не определен	68069
	ultra Health Products Inc	73215
	Не определен	71395
	shenzhen V-Care Co., Ltd	71000
	cHANGXING KINGKE IMPORT & EXPORT	65262
	tirupati Lifesciences Private Li	72977
	Не определен	43707
	Не определен	63257
	Не определен	65009
	Не определен	64576
	Не определен	72815
	Не определен	72816
	Не определен	44488
	Не определен	72562
	Не определен	30942
	Не определен	31394
	Не определен	49607
	Не определен	63258
	Не определен	44686
	Не определен	44686
	Не определен	31849
	Не определен	72779
	Не определен	30881
	Не определен	72524
	Не определен	57828
	Не определен	57828
	Не определен	68832
	Не определен	70090
	Не определен	60078
	Не определен	31689
	Не определен	31475
	Не определен	32054
	Не определен	32054
	Не определен	32540
	Не определен	30928
	Не определен	70291
	Не определен	55560
	Не определен	27369
	Не определен	66748
	Не определен	70030
	Не определен	36185
	Не определен	64392
	Не определен	73022
	catalent/Berlin-chemie	59885
	Не определен	72351
	Не определен	68827
	Не определен	32196
	Не определен	32196
	Не определен	59590
	leo Laboratories	60891
	Не определен	60109
	Не определен	27159
	Не определен	57767
	menarini A.	70608
	Не определен	42755
	Не определен	46274
	Не определен	54225
	Не определен	66113
	Не определен	66113
	Не определен	66113
	Не определен	63347
	Не определен	70635
	"Eagle Nutrionals, Inc." US	30718
	Не определен	66168
	Не определен	66168
	Не определен	72911
	Не определен	64908
	Не определен	49360
	rompharm	69890
	Не определен	70124
	Не определен	69388
	Не определен	69388
	Не определен	60964
	Не определен	30312
	Не определен	69446
	Не определен	59343
	Не определен	49256
	Не определен	49253
	Не определен	35911
	astrazeneca/Bristol Myers Squibb	72310
	Не определен	72054
	rottendorf Pharma/Bionorica	59710
	rottendorf Pharma/Merz	54760
	jadran Galenskiy laboratorij	62219
	jadran Galenskiy laboratorij	62219
	Не определен	68888
	Не определен	69866
	Не определен	68591
	Не определен	71326
	Не определен	73169
	Не определен	55889
	Не определен	55929
	Не определен	72273
	Не определен	71325
	Не определен	72164
	Не определен	71841
	Не определен	33938
	Не определен	72212
	s.M.B. Technology SA	71215
	Не определен	42587
	Не определен	66433
	Не определен	33924
	Не определен	67175
	Не определен	66906
	Не определен	54084
	Не определен	55732
	Не определен	63813
	Не определен	62777
	Не определен	71739
	"Eagle Nutrionals, Inc." US	49321
	Не определен	69889
	Не определен	72961
	Не определен	69631
	Не определен	27193
	Не определен	64710
	Не определен	61344
	Не определен	64360
	Не определен	68316
	Не определен	70814
	Не определен	73069
	Не определен	73227
	Не определен	60843
	Не определен	51283
	Не определен	36190
	Не определен	27210
	Не определен	71296
	Не определен	73293
	Не определен	69571
	Не определен	63543
	Не определен	63543
	Не определен	69608
	Не определен	69608
	Не определен	69608
	sanofi Winthrop Industrie	71224
	sanofi Winthrop Industrie	71224
	sanofi Winthrop Industrie	69303
	Не определен	69153
	Не определен	38258
	Не определен	27215
	Не определен	37498
	Не определен	50177
	balkanpharma Troyan	70562
	Не определен	27218
	Не определен	27218
	Не определен	27218
	Не определен	27219
	Не определен	68137
	Не определен	60481
	Не определен	67873
	Не определен	27227
	Не определен	69738
	Не определен	59807
	Не определен	72521
	Не определен	65462
	Не определен	73134
	Не определен	68361
	Не определен	68361
	Не определен	27233
	Не определен	62521
	Не определен	62521
	Не определен	27235
	Не определен	55245
	takeda	71405
	takeda	65796
	takeda	65796
	Не определен	71951
	Не определен	73271
	catalent Germany Eberbach/Teva P	66905
	alfa Wassermann spa/Alfasigma S.p.A.	71797
	alfasigma_	72082
	alfa Wassermann spa/Alfasigma S.p.A.	71794
	alfa Wassermann spa/Alfasigma S.p.A.	70920
	alfa Wassermann spa/Alfasigma S.p.A.	70921
	Не определен	72958
	Не определен	56096
	biofarma S.r.l.	69192
	sofar Swiss SA.	72582
	Не определен	69827
	Не определен	73260
	Не определен	71666
	Не определен	71666
	Не определен	27248
	Не определен	62623
	Не определен	62623
	Не определен	27249
	Не определен	27249
	Не определен	70076
	Не определен	71021
	Не определен	71202
	Не определен	71203
	Не определен	69981
	Не определен	71551
	Не определен	70077
	Не определен	71066
	Не определен	71126
	Не определен	71126
	Не определен	70237
	Не определен	72898
	Не определен	71102
	Не определен	71102
	Не определен	27252
	Не определен	27252
	Не определен	35468
	Не определен	58174
	Не определен	52722
	Не определен	53113
	Не определен	71992
	Не определен	71993
	Не определен	70876
	Не определен	70876
	teva Pharma S.L.U Spain	72829
	teva	68664
	teva	68664
	Не определен	71588
	Не определен	60107
	Не определен	68878
	Не определен	68878
	sandoz	65418
	Не определен	65802
	Не определен	27265
	Не определен	30298
	Не определен	30298
	Не определен	30298
	Не определен	30298
	Не определен	66770
	Не определен	71324
	Не определен	68247
	Не определен	66953
	Не определен	71011
	Не определен	27273
	Не определен	57243
	Не определен	66924
	Не определен	66924
	"Nutrilo GmbH"	27279
	Не определен	47946
	Не определен	56517
	Не определен	56517
	Не определен	73199
	Не определен	72406
	Не определен	72377
	Не определен	58376
	Не определен	73279
	Не определен	73288
	Не определен	64506
	Не определен	63249
	Не определен	66158
	Не определен	57289
	Не определен	30562
	"Eagle Nutrionals, Inc." US	46727
	Не определен	27286
	Не определен	66179
	Не определен	38034
	natur Produkt	61346
	Не определен	72533
	Не определен	30462
	Не определен	50573
	pez Production Europe Kft. HU	66139
	pez Production Europe Kft. HU	66139
	Не определен	27305
	Не определен	72365
	Не определен	73244
	Не определен	71087
	Не определен	62104
	Не определен	70017
	Не определен	71683
	Не определен	73185
	Не определен	70956
	Не определен	70527
	Не определен	51619
	Не определен	51619
	Не определен	70662
	Не определен	71482
	Не определен	27315
	Не определен	27315
	Не определен	40067
	astraZeneca	52204
	Не определен	72177
	Не определен	72178
	Не определен	62627
	Не определен	72092
	rovi Pharma Industrial Services	71264
	merck Sharp@Dohme	55713
	merck Sharp@Dohme	55713
	rovi Pharma Industrial Services	72028
	rovi Pharma Industrial Services	72028
	rovi Pharma Industrial Services	68234
	hennig Arzneimittel GmbH&Co	62910
	Не определен	63278
	Не определен	63278
	Не определен	72591
	Не определен	71560
	medana Pharma	70143
	Не определен	33281
	Не определен	33281
	Не определен	71563
	Не определен	58237
	Не определен	72846
	Не определен	64430
	Не определен	57329
	Не определен	58936
	dr. Gerhard Mann	68187
	bausch@Lomb.	73287
	Не определен	44005
	dr.Gerhard Mann, Chem.-Pharm.Fabrik GmbH	73172
	dr.Gerhard Mann, Chem.-Pharm.Fabrik GmbH	73173
	pharmaLinea d.o.o.	72353
	Не определен	63774
	world Medicine Ilac	66934
	mefar Ilac Sanayii A.S	67804
	ameriPharma Labs LLC/Unipharm,In	72987
	Не определен	63102
	Не определен	72557
	Не определен	27328
	Не определен	27329
	Не определен	73094
	Не определен	40250
	"Eurosirel s.r.l."	36117
	"Eurosirel s.r.l."	36117
	Не определен	67712
	Не определен	66880
	natur Produkt	71650
	Не определен	55381
	Не определен	73177
	Не определен	73178
	Не определен	73179
	Не определен	35336
	Не определен	32739
	Не определен	58097
	Не определен	58097
	Не определен	47796
	Не определен	39119
	Не определен	64197
	Не определен	33487
	Не определен	38164
	Не определен	72820
	Не определен	72988
	Не определен	72856
	Не определен	56203
	Не определен	67635
	Не определен	67635
	Не определен	73087
	Не определен	69854
	Не определен	70752
	Не определен	55699
	Не определен	55699
	Не определен	69690
	Не определен	69262
	Не определен	37329
	Не определен	72611
	Не определен	64393
	Не определен	72800
	Не определен	68542
	Не определен	68542
	Не определен	71104
	Не определен	72201
	Не определен	65869
	Не определен	70643
	Не определен	30362
	Не определен	30362
	Не определен	32899
	Не определен	32899
	Не определен	65071
	Не определен	56115
	Не определен	55690
	Не определен	69727
	Не определен	27365
	Не определен	69640
	Не определен	61328
	Не определен	61328
	Не определен	68173
	Не определен	68173
	delpharm Montreal Inc	67690
	Не определен	57833
	Не определен	59874
	Не определен	52296
	Не определен	58397
	Не определен	33654
	Не определен	58568
	Не определен	71763
	Не определен	36551
	Не определен	68391
	Не определен	73073
	Не определен	72996
	Не определен	45991
	Не определен	64538
	Не определен	41133
	Не определен	68620
	salutas Pharma Gmbh	72276
	salutas Pharma Gmbh	72276
	gedeon Richter	69957
	Не определен	61887
	Не определен	32123
	Не определен	32122
	Не определен	31140
	Не определен	72295
	Не определен	65008
	Не определен	72397
	Не определен	69870
	Не определен	62158
	Не определен	30885
	Не определен	31035
	Не определен	32024
	Не определен	31320
	Не определен	71064
	Не определен	71985
	Не определен	30843
	Не определен	30843
	Не определен	72620
	Не определен	73162
	Не определен	72949
	Не определен	72950
	Не определен	33597
	Не определен	60894
	Не определен	60015
	Не определен	45896
	Не определен	50776
	medico domus d.o.o	72387
	Не определен	64909
	Не определен	64342
	Не определен	47793
	Не определен	36649
	Не определен	34772
	Не определен	34772
	Не определен	67880
	Не определен	71431
	Не определен	71278
	Не определен	71278
	Не определен	71602
	Не определен	72222
	Не определен	54774
	Не определен	72808
	Не определен	72809
	Не определен	64475
	Не определен	58823
	Не определен	65190
	Не определен	67271
	salutas Pharma Gmbh	69089
	salutas Pharma Gmbh	69089
	Не определен	27405
	Не определен	27405
	Не определен	64341
	Не определен	64341
	Не определен	70896
	opella Healthcare Hungary Ltd	72559
	Не определен	68319
	Не определен	72616
	Не определен	69461
	Не определен	73048
	Не определен	73090
	Не определен	73136
	Не определен	72081
	Не определен	72320
	Не определен	63901
	Не определен	67925
	Не определен	64233
	Не определен	68924
	Не определен	68924
	Не определен	73145
	Не определен	70003
	Не определен	65364
	Не определен	72321
	Не определен	73024
	Не определен	69152
	Не определен	69152
	Не определен	69152
	Не определен	68496
	Не определен	68496
	Не определен	40708
	Не определен	70708
	Не определен	38819
	Не определен	38819
	Не определен	39710
	Не определен	39710
	Не определен	61836
	gedeon Richter	68657
	Не определен	70078
	Не определен	63642
	Не определен	66279
	Не определен	37030
	Не определен	39496
	Не определен	63051
	Не определен	37342
	Не определен	49855
	Не определен	32198
	Не определен	62600
	Не определен	71297
	Не определен	64091
	Не определен	27429
	Не определен	71220
	Не определен	52706
	Не определен	27433
	jNTL Consumer Health (France) S.	69099
	Не определен	67085
	grenszach Prodycthions	72245
	Не определен	48223
	Не определен	27439
	gP Grenzach Produktions GmbH	72908
	Не определен	72635
	gP Grenzach Produktions GmbH	71950
	Не определен	67895
	Не определен	58229
	Не определен	58922
	Не определен	27445
	Не определен	72263
	Не определен	32214
	Не определен	27449
	delpharm Reims	73234
	Не определен	73077
	Не определен	73077
	delpharm Reims	72653
	Не определен	30371
	Не определен	35195
	moldex Metric AG	72018
	Не определен	51631
	nordePlast	71476
	Не определен	53473
	Не определен	64353
	Не определен	64353
	Не определен	56179
	solgar Vitamin and Herb	59859
	Не определен	71358
	Не определен	58627
	Не определен	62912
	egis	54824
	Не определен	35846
	Не определен	27457
	Не определен	68937
	Не определен	63562
	Не определен	63562
	Не определен	69047
	Не определен	69047
	Не определен	71117
	abbott Laboratories	56420
	Не определен	58927
	abbot	69412
	Не определен	27462
	Не определен	71407
	Не определен	33935
	Не определен	60304
	Не определен	70241
	Не определен	70241
	Не определен	70247
	Не определен	72394
	Не определен	65900
	Не определен	57287
	Не определен	37052
	Не определен	72123
	Не определен	70579
	Не определен	68552
	Не определен	36152
	Не определен	59497
	Не определен	68934
	Не определен	70184
	Не определен	62823
	Не определен	61800
	Не определен	72357
	Не определен	72563
	Не определен	57616
	Не определен	56064
	Не определен	57520
	Не определен	72721
	Не определен	27475
	Не определен	39854
	Не определен	39854
	Не определен	30395
	Не определен	30395
	Не определен	66814
	Не определен	72385
	Не определен	63424
	Не определен	73294
	Не определен	32641
	Не определен	27474
	Не определен	51064
	Не определен	66751
	Не определен	66751
	Не определен	27483
	Не определен	27483
	Не определен	30643
	Не определен	60451
	Не определен	73032
	Не определен	65312
	Не определен	72873
	Не определен	71715
	Не определен	69340
	Не определен	69598
	Не определен	69598
	Не определен	27492
